id,比赛时间,必发交易量,更新时间差_小时,必发更新时间
"2334720	2025-01-11 23:00:00	57649	2334720	8	2025-01-11 14:20:12",,,,
"2334720	2025-01-11 23:00:00	57649	2334720	8	2025-01-11 14:51:11",,,,
"2334720	2025-01-11 23:00:00	56947	2334720	9	2025-01-11 13:20:14",,,,
"2334720	2025-01-11 23:00:00	57404	2334720	9	2025-01-11 13:50:12",,,,
"2334720	2025-01-11 23:00:00	56403	2334720	10	2025-01-11 12:20:12",,,,
"2334720	2025-01-11 23:00:00	56552	2334720	10	2025-01-11 12:51:23",,,,
"2334720	2025-01-11 23:00:00	55975	2334720	11	2025-01-11 11:20:12",,,,
"2334720	2025-01-11 23:00:00	56403	2334720	11	2025-01-11 11:51:20",,,,
"2334720	2025-01-11 23:00:00	55542	2334720	12	2025-01-11 10:20:11",,,,
"2334720	2025-01-11 23:00:00	55975	2334720	12	2025-01-11 10:50:11",,,,
"2334720	2025-01-11 23:00:00	54773	2334720	13	2025-01-11 09:20:10",,,,
"2334720	2025-01-11 23:00:00	55504	2334720	13	2025-01-11 09:51:09",,,,
"2334708	2025-01-11 20:00:00	110333	2334708	0	2025-01-11 19:20:14",,,,
"2334708	2025-01-11 20:00:00	364786	2334708	0	2025-01-11 19:51:33",,,,
"2334708	2025-01-11 20:00:00	88155	2334708	1	2025-01-11 18:20:12",,,,
"2334708	2025-01-11 20:00:00	101315	2334708	1	2025-01-11 18:51:36",,,,
"2334708	2025-01-11 20:00:00	79899	2334708	2	2025-01-11 17:20:11",,,,
"2334708	2025-01-11 20:00:00	83333	2334708	2	2025-01-11 17:50:11",,,,
"2334708	2025-01-11 20:00:00	73277	2334708	3	2025-01-11 16:20:11",,,,
"2334708	2025-01-11 20:00:00	75929	2334708	3	2025-01-11 16:51:12",,,,
"2334708	2025-01-11 20:00:00	69564	2334708	4	2025-01-11 15:20:12",,,,
"2334708	2025-01-11 20:00:00	70984	2334708	4	2025-01-11 15:50:11",,,,
"2334708	2025-01-11 20:00:00	68517	2334708	5	2025-01-11 14:20:11",,,,
"2334708	2025-01-11 20:00:00	68579	2334708	5	2025-01-11 14:51:09",,,,
"2334708	2025-01-11 20:00:00	62973	2334708	6	2025-01-11 13:20:13",,,,
"2334708	2025-01-11 20:00:00	67705	2334708	6	2025-01-11 13:50:11",,,,
"2334708	2025-01-11 20:00:00	61264	2334708	7	2025-01-11 12:20:11",,,,
"2334708	2025-01-11 20:00:00	61597	2334708	7	2025-01-11 12:51:21",,,,
"2334708	2025-01-11 20:00:00	60309	2334708	8	2025-01-11 11:51:18",,,,
"2334705	2025-01-11 23:00:00	264195	2334705	0	2025-01-11 22:20:17",,,,
"2334705	2025-01-11 23:00:00	356551	2334705	0	2025-01-11 22:51:11",,,,
"2334705	2025-01-11 23:00:00	206273	2334705	1	2025-01-11 21:20:16",,,,
"2334705	2025-01-11 23:00:00	229623	2334705	1	2025-01-11 21:51:22",,,,
"2334705	2025-01-11 23:00:00	182631	2334705	2	2025-01-11 20:20:14",,,,
"2334705	2025-01-11 23:00:00	191723	2334705	2	2025-01-11 20:51:26",,,,
"2334705	2025-01-11 23:00:00	87902	2334705	3	2025-01-11 19:20:15",,,,
"2334705	2025-01-11 23:00:00	100599	2334705	3	2025-01-11 19:51:34",,,,
"2334705	2025-01-11 23:00:00	82130	2334705	4	2025-01-11 18:20:13",,,,
"2334705	2025-01-11 23:00:00	83776	2334705	4	2025-01-11 18:51:37",,,,
"2334705	2025-01-11 23:00:00	76893	2334705	5	2025-01-11 17:20:13",,,,
"2334705	2025-01-11 23:00:00	80466	2334705	5	2025-01-11 17:50:13",,,,
"2334705	2025-01-11 23:00:00	70163	2334705	6	2025-01-11 16:20:13",,,,
"2334705	2025-01-11 23:00:00	75192	2334705	6	2025-01-11 16:51:14",,,,
"2334705	2025-01-11 23:00:00	69000	2334705	7	2025-01-11 15:20:13",,,,
"2334705	2025-01-11 23:00:00	69835	2334705	7	2025-01-11 15:50:13",,,,
