35	2093734	2023-09-28 08:30:00	4	解放者杯	32	\N	3010	1	1.79	1.66-2.3	3.30	4.60	1.85	1.66-2.3	3.10	4.55	0	0-3	4	3-7	2	0-3	2	0-3	0	0-3	4	3-7	2	0-3	4	3-7	6	3-7	5	3-7	3	3-7	1	0-3	7	4-9	3	2	1	1	2	3	1	-1	-1	0.06	-0.20	-0.05	0.06-0.17	负无穷--0.16	-0.06--0.001	2025-03-01 18:49:58	2025-03-01 18:49:58	0	\N
36	1992100	2023-06-29 08:30:00	4	解放者杯	32	\N	3009	3	1.71	1.66-2.3	3.65	4.55	1.64	1.28-1.66	3.80	4.85	8	7-13	8	7-13	9	7-13	9	7-13	7	7-13	7	7-13	17	13+	15	13+	16	13+	3	3-7	5	3-7	4	3-7	20	15+	1	3	2	3	1	2	-1	1	1	-0.07	0.15	0.30	-0.16--0.06	0.06-0.17	0.29+	2025-03-01 18:49:58	2025-03-01 18:49:58	0	\N
37	1992098	2023-06-08 06:00:00	4	解放者杯	32	\N	3003	3	1.31	1.28-1.66	5.10	8.20	1.27	0-1.28	5.20	10.00	6	3-7	4	3-7	3	3-7	3	3-7	4	3-7	7	7-13	9	7-13	8	7-13	10	7-13	6	3-7	7	7-13	5	3-7	15	15+	2	3	1	2	1	3	-1	1	1	-0.04	0.10	1.80	-0.06--0.001	0.06-0.17	0.29+	2025-03-01 18:49:58	2025-03-01 18:49:58	0	\N
38	1992099	2023-06-29 08:30:00	4	解放者杯	32	\N	3010	3	1.71	1.66-2.3	3.80	4.30	1.70	1.66-2.3	3.75	4.45	5	3-7	3	3-7	4	3-7	3	3-7	3	3-7	6	3-7	8	7-13	6	3-7	10	7-13	3	3-7	5	3-7	1	0-3	11	9-15	2	3	1	2	1	3	-1	-1	1	-0.01	-0.05	0.15	-0.06--0.001	-0.06--0.001	0.06-0.17	2025-03-01 18:49:58	2025-03-01 18:49:58	0	\N
39	2189343	2024-05-15 08:30:00	4	解放者杯	32	\N	2005	3	1.36	1.28-1.66	4.50	7.80	1.36	1.28-1.66	4.65	7.50	4	3-7	4	3-7	7	7-13	4	3-7	6	3-7	7	7-13	8	7-13	10	7-13	14	13+	8	7-13	6	3-7	2	0-3	16	15+	3	2	1	1	2	3	0	1	-1	0.00	0.15	-0.30	-0.001-0.001	0.06-0.17	负无穷--0.16	2025-03-01 18:49:58	2025-03-01 18:49:58	0	\N
40	2189342	2024-05-08 08:00:00	4	解放者杯	32	\N	2003	1	3.40	3.2+	3.35	2.06	3.55	3.2+	3.40	1.98	5	3-7	3	3-7	13	13+	10	7-13	4	3-7	4	3-7	15	13+	7	7-13	17	13+	9	7-13	17	13+	7	7-13	24	15+	2	3	1	2	1	3	1	1	-1	0.15	0.05	-0.08	0.06-0.17	0.001-0.06	-0.16--0.06	2025-03-01 18:49:58	2025-03-01 18:49:58	0	\N
41	2189283	2024-06-09 06:00:00	4	解放者杯	32	\N	6112	1	1.64	1.28-1.66	3.50	4.50	1.61	1.28-1.66	3.65	5.40	2	0-3	1	0-3	3	3-7	1	0-3	4	3-7	3	3-7	3	3-7	5	3-7	6	3-7	4	3-7	2	0-3	1	0-3	7	4-9	3	2	1	1	2	3	-1	1	1	-0.03	0.15	0.90	-0.06--0.001	0.06-0.17	0.29+	2025-03-01 18:49:58	2025-03-01 18:49:58	0	\N
42	2189282	2024-06-05 08:00:00	4	解放者杯	32	\N	2005	0	3.75	3.2+	3.25	1.97	3.05	2.3-3.2	3.20	2.29	18	13+	10	7-13	8	7-13	9	7-13	9	7-13	18	13+	27	13+	19	13+	26	13+	11	7-13	19	13+	12	7-13	38	15+	1	3	2	3	1	2	-1	-1	1	-0.70	-0.05	0.32	负无穷--0.16	-0.06--0.001	0.29+	2025-03-01 18:49:58	2025-03-01 18:49:58	0	\N
43	2189285	2024-05-30 06:00:00	4	解放者杯	32	\N	3009	3	1.21	0-1.28	5.70	13.00	1.23	0-1.28	5.50	12.00	1	0-3	5	3-7	2	0-3	4	3-7	2	0-3	2	0-3	5	3-7	7	7-13	4	3-7	2	0-3	0	0-3	3	3-7	7	4-9	2	1	3	2	3	1	1	-1	-1	0.02	-0.20	-1.00	0.001-0.06	负无穷--0.16	负无穷--0.16	2025-03-01 18:49:58	2025-03-01 18:49:58	0	\N
44	2189292	2024-04-25 06:00:00	4	解放者杯	32	\N	3011	3	1.39	1.28-1.66	4.45	7.30	1.38	1.28-1.66	4.45	7.70	3	3-7	4	3-7	4	3-7	3	3-7	2	0-3	6	3-7	6	3-7	6	3-7	10	7-13	4	3-7	4	3-7	0	0-3	10	9-15	2	2	1	1	1	3	-1	0	1	-0.01	0.00	0.40	-0.06--0.001	-0.001-0.001	0.29+	2025-03-01 18:49:58	2025-03-01 18:49:58	0	\N
45	2288495	2024-09-19 06:00:00	4	解放者杯	32	\N	3011	3	2.18	1.66-2.3	2.97	3.05	2.47	2.3-3.2	2.79	3.15	6	3-7	20	13+	8	7-13	11	7-13	12	7-13	9	7-13	17	13+	32	13+	17	13+	19	13+	4	3-7	19	13+	36	15+	2	1	2	1	3	1	1	-1	1	0.29	-0.18	0.10	0.29+	负无穷--0.16	0.06-0.17	2025-03-01 18:49:58	2025-03-01 18:49:58	0	\N
46	2189294	2024-05-09 08:30:00	4	解放者杯	32	\N	3004	3	1.59	1.28-1.66	3.90	5.20	1.59	1.28-1.66	3.90	5.10	6	3-7	4	3-7	4	3-7	4	3-7	5	3-7	6	3-7	10	7-13	9	7-13	10	7-13	1	0-3	2	0-3	1	0-3	11	9-15	1	3	1	2	1	2	0	0	-1	0.00	0.00	-0.10	-0.001-0.001	-0.001-0.001	-0.16--0.06	2025-03-01 18:49:58	2025-03-01 18:49:58	0	\N
47	2288493	2024-09-19 08:30:00	4	解放者杯	32	\N	3012	1	1.78	1.66-2.3	3.35	4.60	1.84	1.66-2.3	3.15	4.55	7	7-13	9	7-13	15	13+	6	3-7	5	3-7	20	13+	13	13+	14	13+	35	13+	26	13+	25	13+	4	3-7	39	15+	3	2	1	1	2	3	1	-1	-1	0.06	-0.20	-0.05	0.06-0.17	负无穷--0.16	-0.06--0.001	2025-03-01 18:49:58	2025-03-01 18:49:58	0	\N
48	2189297	2024-05-29 06:00:00	4	解放者杯	32	\N	2006	3	1.43	1.28-1.66	4.30	6.80	1.45	1.28-1.66	4.25	6.50	2	0-3	4	3-7	7	7-13	5	3-7	4	3-7	5	3-7	7	7-13	8	7-13	12	7-13	6	3-7	5	3-7	1	0-3	13	9-15	3	2	1	1	2	3	1	-1	-1	0.02	-0.05	-0.30	0.001-0.06	-0.06--0.001	负无穷--0.16	2025-03-01 18:49:58	2025-03-01 18:49:58	0	\N
49	2288498	2024-09-26 08:30:00	4	解放者杯	32	\N	3011	1	2.58	2.3-3.2	2.95	2.83	2.67	2.3-3.2	2.92	2.75	8	7-13	3	3-7	8	7-13	8	7-13	2	0-3	7	7-13	16	13+	5	3-7	15	13+	2	0-3	13	13+	3	3-7	18	15+	1	3	2	3	1	2	1	-1	-1	0.09	-0.03	-0.08	0.06-0.17	-0.06--0.001	-0.16--0.06	2025-03-01 18:49:58	2025-03-01 18:49:58	0	\N
50	2288499	2024-09-26 06:00:00	4	解放者杯	32	\N	3010	3	1.80	1.66-2.3	3.40	4.35	1.77	1.66-2.3	3.35	4.60	8	7-13	4	3-7	5	3-7	5	3-7	4	3-7	11	7-13	13	13+	8	7-13	16	13+	3	3-7	8	7-13	0	0-3	16	15+	2	3	1	2	1	3	-1	-1	1	-0.03	-0.05	0.25	-0.06--0.001	-0.06--0.001	0.17-0.29	2025-03-01 18:49:58	2025-03-01 18:49:58	0	\N
